"Condition","QBER_per_dB","LogSKR_per_dB"
"Baseline",0.00148728757719018,-0.170131952641521
"3 dBm",0.00164183333333333,-0.191915080608672
"7 dBm",0.00153715983126706,-0.170534678976359
"9 dBm",0.00171817751201081,-0.18263031310558
"12 dBm",0.00245749571264209,-0.286213321344064
