"LD1","LD2","LD3","NoiseCondition"
0.884258905656078,-1.14132035662449,1.12760977557437,"Baseline"
0.899901822543207,-1.17796977986833,1.10664475947062,"Baseline"
0.895056275441915,-1.21204408849456,1.09643136064582,"Baseline"
0.869368709999583,-1.24376645321029,1.09705668854915,"Baseline"
0.856615554002843,-1.25181650497871,1.10019883737538,"Baseline"
0.847351404530371,-1.27317207509039,1.09677773024525,"Baseline"
0.912109349566475,-1.24780339177392,1.07511890709916,"Baseline"
0.835258122414754,-1.29631345133844,1.09405367063936,"Baseline"
0.859545718275884,-1.29649047655306,1.08236601542928,"Baseline"
0.828134403851656,-1.31631793787272,1.0901051997358,"Baseline"
0.811821749392813,-1.34212266786646,1.08842071777322,"Baseline"
0.819440477036358,-1.35282142214224,1.08083997262664,"Baseline"
0.79448463683297,-1.36857405667544,1.08698864390635,"Baseline"
0.747499709981505,-1.39823189929778,1.09856488690023,"Baseline"
0.838162516397672,-1.35651153995567,1.07052357068342,"Baseline"
0.823819311784287,-1.36556526279041,1.07405747896086,"Baseline"
0.795022414473274,-1.38374245078863,1.08115251779737,"Baseline"
0.782863911574487,-1.3914171454122,1.08414815476927,"Baseline"
0.779400602927073,-1.40911110666769,1.07929782453591,"Baseline"
0.771150129841094,-1.4143189732909,1.08133059307803,"Baseline"
0.747189108776877,-1.42944365772511,1.08723415877044,"Baseline"
0.758956854827848,-1.43752346709217,1.0786311699281,"Baseline"
0.766013994129415,-1.44857670736551,1.07118879007322,"Baseline"
0.752902717701238,-1.45685281204296,1.07441917334853,"Baseline"
0.751428204725874,-1.45778355465976,1.07478246689061,"Baseline"
0.742888483506185,-1.46317400059517,1.07688650098333,"Baseline"
0.717308925384351,-1.47932033857979,1.08318884516768,"Baseline"
0.697406246015842,-1.49188331509224,1.0880925082792,"Baseline"
0.729579223802641,-1.4870829266587,1.07446203643859,"Baseline"
0.711547288892807,-1.52948075179522,1.0674975269856,"Baseline"
0.678310056152199,-1.5504607699389,1.07568658480548,"Baseline"
0.773626535882324,-1.50580291723434,1.04649868697821,"Baseline"
0.693289976402509,-1.55651298953912,1.06629217387179,"Baseline"
0.669174880366627,-1.57173492923301,1.07223370087288,"Baseline"
0.667648116314986,-1.57269865379319,1.07260986814269,"Baseline"
0.758094899993841,-1.53111465240193,1.04462177605257,"Baseline"
0.750528939500497,-1.53589044073736,1.04648589297309,"Baseline"
0.690465849901039,-1.58931133631886,1.05558073327861,"Baseline"
0.66746172809175,-1.60383200645721,1.06124853616287,"Baseline"
0.656645942223066,-1.64167485137043,1.05250609705503,"Baseline"
0.654203699874639,-1.6432164444742,1.05310782175207,"Baseline"
0.644536364847485,-1.64931866320744,1.05548967965581,"Baseline"
0.627757650462993,-1.65990972940604,1.05962365384403,"Baseline"
0.631305263960521,-1.67317825383432,1.05304595818095,"Baseline"
0.620496897283958,-1.69550856529143,1.05000531846426,"Baseline"
0.608858771698527,-1.71836263746889,1.04716911645555,"Baseline"
0.559288398375184,-1.7496524665539,1.05938236707318,"Baseline"
0.600624795184386,-1.75457579174196,1.0377905658444,"Baseline"
0.599204548230055,-1.75547228054122,1.03814048921252,"Baseline"
0.598172792188371,-1.75612354596525,1.03839469538989,"Baseline"
0.577278995576306,-1.78481998617576,1.03783892466108,"Baseline"
0.575838906183619,-1.80123685023714,1.03249010950303,"Baseline"
0.551798468074563,-1.83191951463826,1.03270961478346,"Baseline"
0.540970027533265,-1.85426249712757,1.02967392090688,"Baseline"
0.531384669829371,-1.87582082041596,1.02633195372199,"Baseline"
0.489637239228259,-1.91768049906049,1.0309141442616,"Baseline"
0.487572702508672,-1.9189836766798,1.03142280906833,"Baseline"
0.449852492594955,-1.94279344130578,1.04071639203211,"Baseline"
0.555403403533889,-1.89167540720987,1.00900691397652,"Baseline"
0.465484700851813,-1.97944962405512,1.01975401434272,"Baseline"
0.407826839974767,-2.0933836915312,1.00544174005669,"Baseline"
0.383437405322712,-0.346222855303676,0.817765749322934,"Baseline"
0.371658421974693,-0.353657989458317,0.82066787948669,"Baseline"
0.37155504319353,-0.353723244250177,0.820693350163593,"Baseline"
0.37137438781784,-0.36934512791312,0.815034233059955,"Baseline"
0.363344901663795,-0.374413503084751,0.8170125543869,"Baseline"
0.36239913271479,-0.375010491704854,0.817245574887376,"Baseline"
0.360125078023127,-0.376445921334726,0.81780586116334,"Baseline"
0.358753469024986,-0.377311708865583,0.818143801011694,"Baseline"
