"NoiseCondition","N","Mean_VOA_dB","SD_VOA_dB","Min_VOA_dB","Max_VOA_dB","Mean_QBER","SD_QBER","Median_SKR_bps","Mean_LogSKR","SD_LogSKR","Zero_SKR_pct"
"Baseline",471,23.1273885350318,6.80868604937341,10,30,0.0484424628450106,0.0118636608342271,3541,3.66125070475229,1.44737624037635,8.70488322717622
"3 dBm",400,23,6.82763072766706,10,30,0.04934,0.0130700963480139,5673,3.53446219341808,1.62923753994745,13
"7 dBm",354,21.6073446327684,7.19348558456859,10,30,0.0466813559322034,0.0122331733250616,8399.5,3.85949656737646,1.47087374124739,8.19209039548022
"9 dBm",319,21.7335423197492,7.3090688686711,10,30,0.0490576802507837,0.0129741541190548,3319,3.6435483686541,1.53936224646897,9.40438871473354
"12 dBm",566,19.6095406360424,6.73370974042224,10,30,0.0457432862190813,0.0180946865269638,91610.5,3.59285776068148,2.09330638814054,22.0848056537102
