"Variable","N","Mean","SD","Median","Min","Max"
"VOA_dB",2110,21.6938388625592,7.06852659568182,25,10,30
"QBER",2110,0.0476861137440758,0.0142808413329273,0.0434,0.0261,0.0865
"LogSKR",2110,3.64945268545175,1.69504768565609,3.96006623049723,0,5.54973750651844
