"PC1","PC2","PC3","NoiseCondition"
-2.2595395343703,-0.457259919952363,0.0905481009433951,"Baseline"
-2.23534544704321,-0.473254029296146,0.0942553397718147,"Baseline"
-2.22214110924863,-0.481206593234771,0.0998208176979189,"Baseline"
-2.21999422785871,-0.48105487872818,0.107316151891709,"Baseline"
-2.22243650100934,-0.478792018039106,0.109899474468026,"Baseline"
-2.21714447908519,-0.481554398081976,0.114068025764624,"Baseline"
-2.19767697196999,-0.497450914320558,0.103242410288768,"Baseline"
-2.21239424577366,-0.483814789986066,0.118809655774468,"Baseline"
-2.2006769494464,-0.49253043568213,0.1161818516264,"Baseline"
-2.206692323983,-0.486956958135012,0.122544634119191,"Baseline"
-2.20275011495886,-0.488468684233518,0.128140954515864,"Baseline"
-2.19422496411383,-0.494226683474809,0.12888965290561,"Baseline"
-2.19900409317768,-0.489798635251021,0.133944792623563,"Baseline"
-2.20800186795301,-0.481461848342872,0.143462218922825,"Baseline"
-2.18357349096095,-0.501954802709228,0.127389226777494,"Baseline"
-2.18632026387975,-0.499409811188441,0.130294634999895,"Baseline"
-2.19183496856476,-0.494300223655046,0.136127832286153,"Baseline"
-2.19416336360588,-0.492142875446125,0.138590699912071,"Baseline"
-2.18776046075143,-0.495934529707075,0.141584213196994,"Baseline"
-2.18934045466846,-0.494470604133099,0.143255457036068,"Baseline"
-2.19392907245229,-0.490219071990769,0.148109082811728,"Baseline"
-2.18460937034006,-0.496713253762471,0.148017341946737,"Baseline"
-2.17619176559026,-0.502371607380135,0.148879797577655,"Baseline"
-2.1787026200328,-0.500045203467214,0.151535662244401,"Baseline"
-2.17898499432909,-0.49978357274237,0.151834344598738,"Baseline"
-2.18062038025662,-0.498268324324753,0.153564179521788,"Baseline"
-2.18551895344287,-0.493729606494235,0.158745661658855,"Baseline"
-2.18933038486107,-0.490198167628298,0.162777215962355,"Baseline"
-2.17610301082721,-0.500312958820778,0.158552122080149,"Baseline"
-2.16542391156235,-0.50592579143247,0.166788679489212,"Baseline"
-2.17178895572429,-0.500028331431075,0.173521326195255,"Baseline"
-2.14646938431812,-0.521347011947463,0.15650567018399,"Baseline"
-2.16185411122658,-0.507092466453878,0.172778916418949,"Baseline"
-2.16647223489638,-0.502813595965131,0.177663752143962,"Baseline"
-2.16676461545313,-0.502542694052316,0.177973018653705,"Baseline"
-2.14237760755679,-0.522997318348818,0.161943784807452,"Baseline"
-2.14382651496263,-0.521654849505823,0.163476371451807,"Baseline"
-2.14826266444829,-0.515403701862733,0.177934928525528,"Baseline"
-2.15266803274009,-0.511321957473954,0.182594721539387,"Baseline"
-2.14060701616326,-0.518215190011429,0.18936955129948,"Baseline"
-2.14107471395637,-0.517781849887239,0.189864260201115,"Baseline"
-2.14292604179875,-0.516066522919808,0.191822508405313,"Baseline"
-2.14613922319899,-0.51308938587204,0.195221261755629,"Baseline"
-2.13839370468767,-0.518125025552755,0.196794618848433,"Baseline"
-2.13339740565888,-0.520613406876607,0.201275972024589,"Baseline"
-2.12856000830942,-0.522954559638621,0.205925403982398,"Baseline"
-2.13805290495907,-0.514159023132616,0.215966547096728,"Baseline"
-2.11600456637872,-0.530305896420769,0.212177253674261,"Baseline"
-2.1162765485457,-0.530053894406322,0.212464943719141,"Baseline"
-2.11647413336935,-0.529870824412664,0.212673939725809,"Baseline"
-2.11340922879306,-0.530569693952979,0.21919823183025,"Baseline"
-2.1066188725063,-0.534720338829119,0.221781914954003,"Baseline"
-2.10415656057803,-0.534860882936265,0.228943601443083,"Baseline"
-2.09916410576325,-0.537345702446916,0.233429020849431,"Baseline"
-2.09393359631802,-0.540051088795041,0.237662637175905,"Baseline"
-2.09486223423406,-0.537049786504147,0.248411112180322,"Baseline"
-2.09525760010271,-0.536683464710146,0.248829311747449,"Baseline"
-2.10248114978184,-0.529990566088096,0.256470045529613,"Baseline"
-2.07520164966787,-0.553125196480998,0.237381268386275,"Baseline"
-2.07828911319421,-0.545982775342327,0.260179453534537,"Baseline"
-2.054000099728,-0.557783070860037,0.283318694221144,"Baseline"
-1.49006890230162,-0.131971344541811,0.0206624377808109,"Baseline"
-1.49232461804601,-0.12988133651695,0.0230484286380365,"Baseline"
-1.49234441543747,-0.129862993466804,0.023069369394925,"Baseline"
-1.48531287321324,-0.134237106457682,0.0253979372883523,"Baseline"
-1.48685054737424,-0.132812391777167,0.0270244172642318,"Baseline"
-1.48703166537447,-0.132644578933334,0.0272159954334762,"Baseline"
-1.48746715465398,-0.132241081244771,0.0276766356723515,"Baseline"
-1.48772982248539,-0.131997709323071,0.0279544734476975,"Baseline"
-1.4810731352809,-0.136024504616077,0.0306795454893468,"Baseline"
-1.48248759306158,-0.134713954685399,0.0321756929277009,"Baseline"
-1.4826075956708,-0.134602767618988,0.0323026260881211,"Baseline"
-1.483019722545,-0.134220916104009,0.0327385546648149,"Baseline"
-1.4834520091682,-0.133820385800592,0.0331958072832866,"Baseline"
-1.47339790807014,-0.140995016683698,0.032327253439922,"Baseline"
-1.47412902655678,-0.140317607081886,0.0331005964593239,"Baseline"
-1.47589909629222,-0.138677568898512,0.0349728936297098,"Baseline"
-1.47784347701932,-0.136876024828465,0.0370295688332932,"Baseline"
-1.47307956945896,-0.13914908645384,0.0417567348608044,"Baseline"
-1.46145341741434,-0.14778028344106,0.0392253388818963,"Baseline"
-1.46771447282157,-0.141979173049488,0.0458479911355734,"Baseline"
-1.46799302026664,-0.141721088050539,0.0461426256252754,"Baseline"
-1.45803525917783,-0.14880645618281,0.0453759757482352,"Baseline"
-1.46010693298961,-0.146886970138399,0.0475672956369904,"Baseline"
-1.46161103989192,-0.145493356823463,0.0491582697329712,"Baseline"
-1.46318890281574,-0.144031405697259,0.0508272595068578,"Baseline"
-1.46423783771391,-0.143059526877786,0.0519367738962817,"Baseline"
-1.45942817400104,-0.145374983351082,0.0566155412007584,"Baseline"
-1.46039657893332,-0.144477718664773,0.0576398747499979,"Baseline"
-1.44777558686251,-0.15403067347692,0.0540561834130385,"Baseline"
-1.45439790268971,-0.14789484131081,0.0610609600816756,"Baseline"
-1.45541857949576,-0.146949144708419,0.0621405843798475,"Baseline"
-1.45766654578678,-0.14486631685232,0.0645183782269114,"Baseline"
-1.44843769588827,-0.151276320528342,0.0645227365942104,"Baseline"
-1.44972337378812,-0.150085090146257,0.0658826666838063,"Baseline"
-1.44998561961845,-0.149842109224903,0.0661600580861047,"Baseline"
-1.4509936536191,-0.148908126671506,0.0672263094146673,"Baseline"
-1.45187498232659,-0.148091541480854,0.0681585377965035,"Baseline"
-1.45215221337643,-0.147834676173092,0.0684517798647489,"Baseline"
-1.45321589230602,-0.146849136437312,0.0695768898026209,"Baseline"
-1.45517938266547,-0.145029886552573,0.0716537782836038,"Baseline"
-1.44633782647542,-0.151081047603735,0.0720677978636418,"Baseline"
-1.45196783658366,-0.145864625128725,0.0780229598461566,"Baseline"
-1.43992759175998,-0.154879495117923,0.0750535558481425,"Baseline"
-1.44088891824637,-0.15398878888596,0.0760704021476105,"Baseline"
-1.44400732801621,-0.151099461425274,0.079368910489552,"Baseline"
-1.43261121467212,-0.15951751864462,0.077080838713905,"Baseline"
-1.43394770692894,-0.158279206792221,0.0784945178591868,"Baseline"
-1.43595161731815,-0.156422506184019,0.0806141607615483,"Baseline"
-1.43788794930225,-0.154628419586162,0.0826623223803747,"Baseline"
-1.43099955160028,-0.158869903631678,0.0851423018699642,"Baseline"
-1.4184633969683,-0.166203369984363,0.0914145527664176,"Baseline"
-1.42103368099177,-0.163821902262381,0.0941332792707352,"Baseline"
-1.41570699682627,-0.166616398214704,0.0982651664658482,"Baseline"
-1.41714893493954,-0.165280386691267,0.0997903813177297,"Baseline"
-1.38974733972705,-0.179964609780058,0.119637278273763,"Baseline"
-0.814777872603462,0.235619732034979,-0.154694744779747,"Baseline"
-0.816371340045844,0.237096141352162,-0.153009249274266,"Baseline"
-0.813100957517362,0.238347771814542,-0.136936097010219,"Baseline"
-0.805421648897329,0.233373478163116,-0.135292706183921,"Baseline"
-0.804280226401536,0.23445678928715,-0.126733844489086,"Baseline"
-0.796101392048961,0.22901966569262,-0.125618828673584,"Baseline"
-0.799669621832138,0.232325768821943,-0.121844521711229,"Baseline"
-0.795048494387405,0.230184998505076,-0.116966329539878,"Baseline"
-0.789783246214117,0.227447425379606,-0.112769458218951,"Baseline"
-0.784828866954012,0.224997884345435,-0.108243764267559,"Baseline"
-0.794685362899658,0.234130309685222,-0.0978180227843518,"Baseline"
-0.776108809331694,0.219059296424196,-0.107701229171997,"Baseline"
-0.780724893204758,0.223336276962251,-0.102818551048782,"Baseline"
-0.771199669533431,0.216651671504023,-0.103127683028853,"Baseline"
-0.77543573352608,0.220576548900693,-0.0986469722024872,"Baseline"
-0.766295985734888,0.214249101778961,-0.0985483657837947,"Baseline"
-0.770673703150101,0.218305226559367,-0.0939178205769353,"Baseline"
-0.761474263574745,0.211922472687114,-0.093882353342167,"Baseline"
-0.763724655708642,0.214007548180615,-0.0915019935517065,"Baseline"
-0.770062053866526,0.219879393088231,-0.0847985894987237,"Baseline"
-0.770273661148787,0.22007545543303,-0.084574761189659,"Baseline"
-0.77271448437107,0.222336972707327,-0.0819929722798812,"Baseline"
-0.761313727743624,0.213914613306063,-0.0842859555040012,"Baseline"
-0.761907437365191,0.214464708271087,-0.0836579571702442,"Baseline"
