"Cluster","N","Mean_VOA_dB","Mean_QBER","Mean_LogSKR","Median_SKR_bps","Zero_SKR_pct"
1,285,29.4771929824561,0.0731449122807018,0.0375412151171234,0,97.1929824561404
2,856,27.0829439252336,0.0535942757009346,3.30144316330637,2894.5,0
3,969,14.6439628482972,0.0349790505675955,5.01920595686746,100714,0
