"","VOA_dB_z","QBER_z","LogSKR_z"
"Baseline",0.158425931330846,0.0225797987923025,0.0305937726593144
"3 dBm",0.204069494240875,0.145712713240225,-0.0966326888730638
"7 dBm",0.0232368177037716,-0.0486966311009386,0.112393554873633
"9 dBm",0.00785894336771612,0.0802982361765295,0.0232095358266554
"12 dBm",-0.294832394290721,-0.136633212867084,-0.0402654870292634
