"Outcome","R_squared","Adjusted_R_squared","RMSE","Residual_df"
"QBER",0.815652161267086,0.814862099101088,0.00613013277760771,2100
"LogSKR",0.748406831659502,0.747328575223757,0.850018552623024,2100
