"Observation","Cluster","NoiseCondition"
1169,3,"7 dBm"
1170,3,"7 dBm"
1171,3,"7 dBm"
1172,3,"7 dBm"
1173,3,"7 dBm"
1174,3,"7 dBm"
1175,3,"7 dBm"
1176,3,"7 dBm"
1177,3,"7 dBm"
1178,3,"7 dBm"
1179,3,"7 dBm"
1180,3,"7 dBm"
1181,3,"7 dBm"
1182,3,"7 dBm"
1183,3,"7 dBm"
1184,3,"7 dBm"
1185,3,"7 dBm"
1186,3,"7 dBm"
1187,3,"7 dBm"
1188,3,"7 dBm"
1189,1,"7 dBm"
1190,3,"7 dBm"
1191,3,"7 dBm"
1192,3,"7 dBm"
1193,3,"7 dBm"
1194,3,"7 dBm"
1195,3,"7 dBm"
1196,3,"7 dBm"
1197,3,"7 dBm"
1198,1,"7 dBm"
1199,1,"7 dBm"
1200,1,"7 dBm"
1201,1,"7 dBm"
1202,1,"7 dBm"
1203,1,"7 dBm"
1204,1,"7 dBm"
1205,1,"7 dBm"
1206,1,"7 dBm"
1207,1,"7 dBm"
1208,1,"7 dBm"
1209,1,"7 dBm"
1210,1,"7 dBm"
1211,1,"7 dBm"
1212,1,"7 dBm"
1213,1,"7 dBm"
1214,1,"7 dBm"
1215,1,"7 dBm"
1216,1,"7 dBm"
1217,1,"7 dBm"
1218,1,"7 dBm"
1219,1,"7 dBm"
1220,1,"7 dBm"
1221,1,"7 dBm"
1222,1,"7 dBm"
1223,1,"7 dBm"
1224,1,"7 dBm"
1225,1,"7 dBm"
1226,2,"9 dBm"
1227,2,"9 dBm"
1228,2,"9 dBm"
1229,2,"9 dBm"
1230,2,"9 dBm"
1231,2,"9 dBm"
1232,2,"9 dBm"
1233,2,"9 dBm"
1234,2,"9 dBm"
1235,2,"9 dBm"
1236,2,"9 dBm"
1237,2,"9 dBm"
1238,2,"9 dBm"
1239,2,"9 dBm"
1240,2,"9 dBm"
1241,2,"9 dBm"
1242,2,"9 dBm"
1243,2,"9 dBm"
1244,2,"9 dBm"
1245,2,"9 dBm"
1246,2,"9 dBm"
1247,2,"9 dBm"
1248,2,"9 dBm"
1249,2,"9 dBm"
1250,2,"9 dBm"
1251,2,"9 dBm"
1252,2,"9 dBm"
1253,2,"9 dBm"
1254,2,"9 dBm"
1255,2,"9 dBm"
1256,2,"9 dBm"
1257,2,"9 dBm"
1258,2,"9 dBm"
1259,2,"9 dBm"
1260,2,"9 dBm"
1261,2,"9 dBm"
1262,2,"9 dBm"
1263,2,"9 dBm"
1264,2,"9 dBm"
1265,2,"9 dBm"
1266,2,"9 dBm"
1267,2,"9 dBm"
1268,2,"9 dBm"
1269,2,"9 dBm"
1270,2,"9 dBm"
1271,2,"9 dBm"
1272,2,"9 dBm"
1273,2,"9 dBm"
1274,2,"9 dBm"
1275,2,"9 dBm"
1276,2,"9 dBm"
1277,2,"9 dBm"
1278,2,"9 dBm"
1279,2,"9 dBm"
1280,2,"9 dBm"
1281,2,"9 dBm"
1282,2,"9 dBm"
1283,2,"9 dBm"
1284,2,"9 dBm"
1285,2,"9 dBm"
1286,2,"9 dBm"
1287,2,"9 dBm"
1288,2,"9 dBm"
1289,2,"9 dBm"
1290,2,"9 dBm"
1291,2,"9 dBm"
1292,2,"9 dBm"
1293,2,"9 dBm"
1294,2,"9 dBm"
1295,2,"9 dBm"
1296,2,"9 dBm"
1297,2,"9 dBm"
1298,2,"9 dBm"
1299,2,"9 dBm"
1300,2,"9 dBm"
1301,2,"9 dBm"
1302,2,"9 dBm"
1303,2,"9 dBm"
1304,2,"9 dBm"
1305,2,"9 dBm"
1306,2,"9 dBm"
1307,2,"9 dBm"
1308,2,"9 dBm"
1309,2,"9 dBm"
1310,2,"9 dBm"
1311,2,"9 dBm"
1312,2,"9 dBm"
1313,2,"9 dBm"
1314,2,"9 dBm"
1315,2,"9 dBm"
1316,2,"9 dBm"
1317,2,"9 dBm"
1318,2,"9 dBm"
1319,2,"9 dBm"
1320,2,"9 dBm"
1321,2,"9 dBm"
1322,2,"9 dBm"
1323,2,"9 dBm"
1324,2,"9 dBm"
1325,2,"9 dBm"
1326,2,"9 dBm"
1327,2,"9 dBm"
1328,2,"9 dBm"
1329,2,"9 dBm"
1330,2,"9 dBm"
1331,2,"9 dBm"
1332,2,"9 dBm"
1333,2,"9 dBm"
1334,2,"9 dBm"
1335,2,"9 dBm"
1336,2,"9 dBm"
1337,2,"9 dBm"
1338,2,"9 dBm"
1339,2,"9 dBm"
1340,2,"9 dBm"
1341,2,"9 dBm"
1342,2,"9 dBm"
1343,2,"9 dBm"
1344,2,"9 dBm"
1345,2,"9 dBm"
1346,2,"9 dBm"
1347,2,"9 dBm"
1348,2,"9 dBm"
1349,2,"9 dBm"
1350,2,"9 dBm"
1351,2,"9 dBm"
1352,2,"9 dBm"
1353,2,"9 dBm"
1354,2,"9 dBm"
1355,2,"9 dBm"
1356,2,"9 dBm"
1357,2,"9 dBm"
1358,2,"9 dBm"
1359,2,"9 dBm"
1360,2,"9 dBm"
1361,2,"9 dBm"
1362,2,"9 dBm"
1363,2,"9 dBm"
1364,2,"9 dBm"
1365,3,"9 dBm"
1366,3,"9 dBm"
1367,3,"9 dBm"
1368,3,"9 dBm"
1369,3,"9 dBm"
1370,3,"9 dBm"
1371,3,"9 dBm"
1372,3,"9 dBm"
1373,3,"9 dBm"
1374,3,"9 dBm"
1375,3,"9 dBm"
1376,3,"9 dBm"
1377,3,"9 dBm"
1378,3,"9 dBm"
1379,3,"9 dBm"
1380,3,"9 dBm"
1381,3,"9 dBm"
1382,3,"9 dBm"
1383,3,"9 dBm"
1384,3,"9 dBm"
1385,3,"9 dBm"
1386,3,"9 dBm"
1387,3,"9 dBm"
1388,3,"9 dBm"
1389,3,"9 dBm"
1390,3,"9 dBm"
1391,3,"9 dBm"
1392,3,"9 dBm"
1393,3,"9 dBm"
1394,3,"9 dBm"
1395,3,"9 dBm"
1396,3,"9 dBm"
1397,3,"9 dBm"
1398,3,"9 dBm"
1399,3,"9 dBm"
1400,3,"9 dBm"
1401,3,"9 dBm"
1402,3,"9 dBm"
1403,3,"9 dBm"
1404,3,"9 dBm"
1405,3,"9 dBm"
1406,3,"9 dBm"
1407,3,"9 dBm"
1408,3,"9 dBm"
1409,3,"9 dBm"
1410,3,"9 dBm"
1411,3,"9 dBm"
1412,3,"9 dBm"
1413,3,"9 dBm"
1414,3,"9 dBm"
1415,3,"9 dBm"
1416,3,"9 dBm"
1417,3,"9 dBm"
1418,3,"9 dBm"
1419,3,"9 dBm"
1420,3,"9 dBm"
1421,3,"9 dBm"
1422,3,"9 dBm"
1423,3,"9 dBm"
1424,3,"9 dBm"
1425,3,"9 dBm"
1426,3,"9 dBm"
1427,3,"9 dBm"
1428,3,"9 dBm"
1429,3,"9 dBm"
1430,3,"9 dBm"
1431,3,"9 dBm"
1432,3,"9 dBm"
1433,3,"9 dBm"
1434,3,"9 dBm"
1435,3,"9 dBm"
1436,3,"9 dBm"
1437,3,"9 dBm"
1438,3,"9 dBm"
1439,3,"9 dBm"
1440,3,"9 dBm"
1441,3,"9 dBm"
1442,3,"9 dBm"
1443,3,"9 dBm"
1444,3,"9 dBm"
1445,3,"9 dBm"
1446,3,"9 dBm"
1447,3,"9 dBm"
1448,3,"9 dBm"
1449,3,"9 dBm"
1450,3,"9 dBm"
1451,3,"9 dBm"
1452,3,"9 dBm"
1453,3,"9 dBm"
1454,3,"9 dBm"
1455,3,"9 dBm"
1456,3,"9 dBm"
1457,3,"9 dBm"
1458,3,"9 dBm"
1459,3,"9 dBm"
1460,3,"9 dBm"
1461,3,"9 dBm"
1462,3,"9 dBm"
1463,3,"9 dBm"
1464,3,"9 dBm"
1465,3,"9 dBm"
1466,3,"9 dBm"
1467,3,"9 dBm"
1468,3,"9 dBm"
1469,3,"9 dBm"
1470,3,"9 dBm"
1471,3,"9 dBm"
1472,3,"9 dBm"
1473,3,"9 dBm"
1474,3,"9 dBm"
1475,3,"9 dBm"
1476,3,"9 dBm"
1477,3,"9 dBm"
1478,3,"9 dBm"
1479,3,"9 dBm"
1480,3,"9 dBm"
1481,3,"9 dBm"
1482,3,"9 dBm"
1483,3,"9 dBm"
1484,3,"9 dBm"
1485,3,"9 dBm"
1486,3,"9 dBm"
1487,3,"9 dBm"
1488,3,"9 dBm"
1489,3,"9 dBm"
1490,3,"9 dBm"
1491,3,"9 dBm"
1492,3,"9 dBm"
1493,3,"9 dBm"
1494,3,"9 dBm"
1495,3,"9 dBm"
1496,3,"9 dBm"
1497,1,"9 dBm"
1498,3,"9 dBm"
1499,1,"9 dBm"
1500,3,"9 dBm"
1501,3,"9 dBm"
1502,3,"9 dBm"
1503,3,"9 dBm"
1504,3,"9 dBm"
1505,3,"9 dBm"
1506,3,"9 dBm"
1507,3,"9 dBm"
1508,3,"9 dBm"
1509,3,"9 dBm"
1510,3,"9 dBm"
1511,3,"9 dBm"
1512,3,"9 dBm"
1513,3,"9 dBm"
1514,3,"9 dBm"
1515,3,"9 dBm"
1516,1,"9 dBm"
1517,3,"9 dBm"
1518,1,"9 dBm"
1519,1,"9 dBm"
1520,1,"9 dBm"
1521,1,"9 dBm"
1522,1,"9 dBm"
1523,1,"9 dBm"
1524,1,"9 dBm"
1525,1,"9 dBm"
1526,1,"9 dBm"
1527,1,"9 dBm"
1528,1,"9 dBm"
1529,1,"9 dBm"
1530,1,"9 dBm"
1531,1,"9 dBm"
1532,1,"9 dBm"
1533,1,"9 dBm"
1534,1,"9 dBm"
1535,1,"9 dBm"
1536,1,"9 dBm"
1537,1,"9 dBm"
1538,1,"9 dBm"
1539,1,"9 dBm"
1540,1,"9 dBm"
1541,1,"9 dBm"
1542,1,"9 dBm"
1543,1,"9 dBm"
1544,1,"9 dBm"
1545,2,"12 dBm"
1546,2,"12 dBm"
1547,2,"12 dBm"
1548,2,"12 dBm"
1549,2,"12 dBm"
1550,2,"12 dBm"
1551,2,"12 dBm"
1552,2,"12 dBm"
1553,2,"12 dBm"
1554,2,"12 dBm"
1555,2,"12 dBm"
1556,2,"12 dBm"
1557,2,"12 dBm"
1558,2,"12 dBm"
1559,2,"12 dBm"
1560,2,"12 dBm"
1561,2,"12 dBm"
1562,2,"12 dBm"
1563,2,"12 dBm"
1564,2,"12 dBm"
1565,2,"12 dBm"
1566,2,"12 dBm"
1567,2,"12 dBm"
1568,2,"12 dBm"
1569,2,"12 dBm"
1570,2,"12 dBm"
1571,2,"12 dBm"
1572,2,"12 dBm"
1573,2,"12 dBm"
1574,2,"12 dBm"
1575,2,"12 dBm"
1576,2,"12 dBm"
1577,2,"12 dBm"
1578,2,"12 dBm"
1579,2,"12 dBm"
1580,2,"12 dBm"
1581,2,"12 dBm"
1582,2,"12 dBm"
1583,2,"12 dBm"
1584,2,"12 dBm"
1585,2,"12 dBm"
1586,2,"12 dBm"
1587,2,"12 dBm"
1588,2,"12 dBm"
1589,2,"12 dBm"
1590,2,"12 dBm"
1591,2,"12 dBm"
1592,2,"12 dBm"
1593,2,"12 dBm"
1594,2,"12 dBm"
1595,2,"12 dBm"
1596,2,"12 dBm"
1597,2,"12 dBm"
1598,2,"12 dBm"
1599,2,"12 dBm"
1600,2,"12 dBm"
1601,2,"12 dBm"
1602,2,"12 dBm"
1603,2,"12 dBm"
1604,2,"12 dBm"
1605,2,"12 dBm"
1606,2,"12 dBm"
1607,2,"12 dBm"
1608,2,"12 dBm"
1609,2,"12 dBm"
1610,2,"12 dBm"
1611,2,"12 dBm"
1612,2,"12 dBm"
1613,2,"12 dBm"
1614,2,"12 dBm"
1615,2,"12 dBm"
1616,2,"12 dBm"
1617,2,"12 dBm"
1618,2,"12 dBm"
1619,2,"12 dBm"
1620,2,"12 dBm"
1621,2,"12 dBm"
1622,2,"12 dBm"
1623,2,"12 dBm"
1624,2,"12 dBm"
1625,2,"12 dBm"
1626,2,"12 dBm"
1627,2,"12 dBm"
1628,2,"12 dBm"
1629,2,"12 dBm"
1630,2,"12 dBm"
1631,2,"12 dBm"
1632,2,"12 dBm"
1633,2,"12 dBm"
1634,2,"12 dBm"
1635,2,"12 dBm"
1636,2,"12 dBm"
1637,2,"12 dBm"
1638,2,"12 dBm"
1639,2,"12 dBm"
1640,2,"12 dBm"
1641,2,"12 dBm"
1642,2,"12 dBm"
1643,2,"12 dBm"
1644,2,"12 dBm"
1645,2,"12 dBm"
1646,2,"12 dBm"
1647,2,"12 dBm"
1648,2,"12 dBm"
1649,2,"12 dBm"
1650,2,"12 dBm"
1651,2,"12 dBm"
1652,2,"12 dBm"
1653,2,"12 dBm"
1654,2,"12 dBm"
1655,2,"12 dBm"
1656,2,"12 dBm"
1657,2,"12 dBm"
1658,2,"12 dBm"
1659,2,"12 dBm"
1660,2,"12 dBm"
1661,2,"12 dBm"
1662,2,"12 dBm"
1663,2,"12 dBm"
1664,2,"12 dBm"
1665,2,"12 dBm"
1666,2,"12 dBm"
1667,2,"12 dBm"
1668,2,"12 dBm"
1669,2,"12 dBm"
1670,2,"12 dBm"
1671,2,"12 dBm"
1672,2,"12 dBm"
1673,2,"12 dBm"
1674,2,"12 dBm"
1675,2,"12 dBm"
1676,2,"12 dBm"
1677,2,"12 dBm"
1678,2,"12 dBm"
1679,2,"12 dBm"
1680,2,"12 dBm"
1681,2,"12 dBm"
1682,2,"12 dBm"
1683,2,"12 dBm"
1684,2,"12 dBm"
1685,2,"12 dBm"
1686,2,"12 dBm"
1687,2,"12 dBm"
1688,2,"12 dBm"
1689,2,"12 dBm"
1690,2,"12 dBm"
1691,2,"12 dBm"
1692,2,"12 dBm"
1693,2,"12 dBm"
1694,2,"12 dBm"
1695,2,"12 dBm"
1696,2,"12 dBm"
1697,2,"12 dBm"
1698,2,"12 dBm"
1699,2,"12 dBm"
1700,2,"12 dBm"
1701,2,"12 dBm"
1702,2,"12 dBm"
1703,2,"12 dBm"
1704,2,"12 dBm"
1705,2,"12 dBm"
1706,2,"12 dBm"
1707,2,"12 dBm"
1708,2,"12 dBm"
1709,2,"12 dBm"
1710,2,"12 dBm"
1711,2,"12 dBm"
1712,2,"12 dBm"
1713,2,"12 dBm"
1714,2,"12 dBm"
1715,2,"12 dBm"
1716,2,"12 dBm"
1717,2,"12 dBm"
1718,2,"12 dBm"
1719,2,"12 dBm"
1720,2,"12 dBm"
1721,2,"12 dBm"
1722,2,"12 dBm"
1723,2,"12 dBm"
1724,2,"12 dBm"
1725,2,"12 dBm"
1726,2,"12 dBm"
1727,2,"12 dBm"
1728,2,"12 dBm"
1729,2,"12 dBm"
1730,2,"12 dBm"
1731,2,"12 dBm"
1732,2,"12 dBm"
1733,2,"12 dBm"
1734,2,"12 dBm"
1735,2,"12 dBm"
1736,2,"12 dBm"
1737,2,"12 dBm"
1738,2,"12 dBm"
1739,2,"12 dBm"
1740,2,"12 dBm"
1741,2,"12 dBm"
1742,2,"12 dBm"
1743,2,"12 dBm"
1744,2,"12 dBm"
1745,2,"12 dBm"
1746,2,"12 dBm"
1747,2,"12 dBm"
1748,2,"12 dBm"
1749,2,"12 dBm"
1750,2,"12 dBm"
1751,2,"12 dBm"
1752,2,"12 dBm"
1753,2,"12 dBm"
1754,2,"12 dBm"
1755,2,"12 dBm"
1756,2,"12 dBm"
1757,2,"12 dBm"
1758,2,"12 dBm"
1759,2,"12 dBm"
1760,2,"12 dBm"
1761,2,"12 dBm"
1762,2,"12 dBm"
1763,2,"12 dBm"
1764,2,"12 dBm"
1765,2,"12 dBm"
1766,2,"12 dBm"
1767,2,"12 dBm"
1768,2,"12 dBm"
1769,2,"12 dBm"
1770,2,"12 dBm"
1771,2,"12 dBm"
1772,2,"12 dBm"
1773,2,"12 dBm"
1774,2,"12 dBm"
1775,2,"12 dBm"
1776,2,"12 dBm"
1777,2,"12 dBm"
1778,2,"12 dBm"
1779,2,"12 dBm"
1780,2,"12 dBm"
1781,2,"12 dBm"
1782,2,"12 dBm"
1783,2,"12 dBm"
1784,2,"12 dBm"
1785,2,"12 dBm"
1786,2,"12 dBm"
1787,2,"12 dBm"
1788,2,"12 dBm"
1789,2,"12 dBm"
1790,2,"12 dBm"
1791,2,"12 dBm"
1792,2,"12 dBm"
1793,2,"12 dBm"
1794,2,"12 dBm"
1795,2,"12 dBm"
1796,2,"12 dBm"
1797,2,"12 dBm"
1798,2,"12 dBm"
1799,2,"12 dBm"
1800,2,"12 dBm"
1801,2,"12 dBm"
1802,2,"12 dBm"
1803,2,"12 dBm"
1804,2,"12 dBm"
1805,2,"12 dBm"
1806,2,"12 dBm"
1807,2,"12 dBm"
1808,2,"12 dBm"
1809,2,"12 dBm"
1810,2,"12 dBm"
1811,2,"12 dBm"
1812,2,"12 dBm"
1813,2,"12 dBm"
1814,2,"12 dBm"
1815,2,"12 dBm"
1816,2,"12 dBm"
1817,2,"12 dBm"
1818,2,"12 dBm"
1819,2,"12 dBm"
1820,2,"12 dBm"
1821,2,"12 dBm"
1822,2,"12 dBm"
1823,2,"12 dBm"
1824,2,"12 dBm"
1825,2,"12 dBm"
1826,2,"12 dBm"
1827,2,"12 dBm"
1828,2,"12 dBm"
1829,2,"12 dBm"
1830,2,"12 dBm"
1831,2,"12 dBm"
1832,2,"12 dBm"
1833,2,"12 dBm"
1834,2,"12 dBm"
1835,2,"12 dBm"
1836,2,"12 dBm"
1837,2,"12 dBm"
1838,2,"12 dBm"
1839,2,"12 dBm"
1840,2,"12 dBm"
1841,2,"12 dBm"
1842,2,"12 dBm"
1843,2,"12 dBm"
1844,2,"12 dBm"
1845,2,"12 dBm"
1846,2,"12 dBm"
1847,2,"12 dBm"
1848,2,"12 dBm"
1849,2,"12 dBm"
1850,2,"12 dBm"
1851,2,"12 dBm"
1852,2,"12 dBm"
1853,2,"12 dBm"
1854,2,"12 dBm"
1855,2,"12 dBm"
1856,2,"12 dBm"
1857,2,"12 dBm"
1858,2,"12 dBm"
1859,2,"12 dBm"
1860,2,"12 dBm"
1861,2,"12 dBm"
1862,2,"12 dBm"
1863,2,"12 dBm"
1864,2,"12 dBm"
1865,2,"12 dBm"
1866,2,"12 dBm"
1867,2,"12 dBm"
1868,2,"12 dBm"
1869,2,"12 dBm"
1870,2,"12 dBm"
1871,2,"12 dBm"
1872,2,"12 dBm"
1873,2,"12 dBm"
1874,2,"12 dBm"
1875,2,"12 dBm"
1876,2,"12 dBm"
1877,2,"12 dBm"
1878,2,"12 dBm"
1879,2,"12 dBm"
1880,2,"12 dBm"
1881,2,"12 dBm"
1882,2,"12 dBm"
1883,2,"12 dBm"
1884,2,"12 dBm"
1885,2,"12 dBm"
1886,2,"12 dBm"
1887,2,"12 dBm"
1888,2,"12 dBm"
1889,2,"12 dBm"
1890,2,"12 dBm"
1891,2,"12 dBm"
1892,2,"12 dBm"
1893,2,"12 dBm"
1894,2,"12 dBm"
1895,2,"12 dBm"
1896,2,"12 dBm"
1897,2,"12 dBm"
1898,2,"12 dBm"
1899,2,"12 dBm"
1900,2,"12 dBm"
1901,2,"12 dBm"
1902,2,"12 dBm"
1903,3,"12 dBm"
1904,3,"12 dBm"
1905,3,"12 dBm"
1906,3,"12 dBm"
1907,3,"12 dBm"
1908,3,"12 dBm"
1909,3,"12 dBm"
1910,3,"12 dBm"
1911,3,"12 dBm"
1912,3,"12 dBm"
1913,3,"12 dBm"
1914,3,"12 dBm"
1915,3,"12 dBm"
1916,3,"12 dBm"
1917,3,"12 dBm"
1918,3,"12 dBm"
1919,3,"12 dBm"
1920,3,"12 dBm"
1921,3,"12 dBm"
1922,3,"12 dBm"
1923,3,"12 dBm"
1924,3,"12 dBm"
1925,3,"12 dBm"
1926,3,"12 dBm"
1927,3,"12 dBm"
1928,3,"12 dBm"
1929,3,"12 dBm"
1930,3,"12 dBm"
1931,3,"12 dBm"
1932,3,"12 dBm"
1933,3,"12 dBm"
1934,3,"12 dBm"
1935,3,"12 dBm"
1936,3,"12 dBm"
1937,3,"12 dBm"
1938,3,"12 dBm"
1939,3,"12 dBm"
1940,3,"12 dBm"
1941,3,"12 dBm"
1942,3,"12 dBm"
1943,3,"12 dBm"
1944,3,"12 dBm"
1945,3,"12 dBm"
1946,3,"12 dBm"
1947,3,"12 dBm"
1948,3,"12 dBm"
1949,3,"12 dBm"
1950,1,"12 dBm"
1951,3,"12 dBm"
1952,3,"12 dBm"
1953,3,"12 dBm"
1954,1,"12 dBm"
1955,3,"12 dBm"
1956,3,"12 dBm"
1957,3,"12 dBm"
1958,3,"12 dBm"
1959,1,"12 dBm"
1960,3,"12 dBm"
1961,3,"12 dBm"
1962,3,"12 dBm"
1963,1,"12 dBm"
1964,1,"12 dBm"
1965,3,"12 dBm"
1966,3,"12 dBm"
1967,3,"12 dBm"
1968,1,"12 dBm"
1969,1,"12 dBm"
1970,3,"12 dBm"
1971,3,"12 dBm"
1972,3,"12 dBm"
1973,3,"12 dBm"
1974,3,"12 dBm"
1975,3,"12 dBm"
1976,3,"12 dBm"
1977,3,"12 dBm"
1978,3,"12 dBm"
1979,3,"12 dBm"
1980,3,"12 dBm"
1981,3,"12 dBm"
1982,3,"12 dBm"
1983,3,"12 dBm"
1984,3,"12 dBm"
1985,3,"12 dBm"
1986,1,"12 dBm"
1987,1,"12 dBm"
1988,1,"12 dBm"
1989,1,"12 dBm"
1990,1,"12 dBm"
1991,1,"12 dBm"
1992,1,"12 dBm"
1993,1,"12 dBm"
1994,1,"12 dBm"
1995,1,"12 dBm"
1996,1,"12 dBm"
1997,1,"12 dBm"
1998,1,"12 dBm"
1999,1,"12 dBm"
2000,1,"12 dBm"
2001,1,"12 dBm"
2002,1,"12 dBm"
2003,1,"12 dBm"
2004,1,"12 dBm"
2005,1,"12 dBm"
2006,1,"12 dBm"
2007,1,"12 dBm"
2008,1,"12 dBm"
2009,1,"12 dBm"
2010,1,"12 dBm"
2011,1,"12 dBm"
2012,1,"12 dBm"
2013,1,"12 dBm"
2014,1,"12 dBm"
2015,1,"12 dBm"
2016,1,"12 dBm"
2017,1,"12 dBm"
2018,1,"12 dBm"
2019,1,"12 dBm"
2020,1,"12 dBm"
2021,1,"12 dBm"
2022,1,"12 dBm"
2023,1,"12 dBm"
2024,1,"12 dBm"
2025,1,"12 dBm"
2026,1,"12 dBm"
2027,1,"12 dBm"
2028,1,"12 dBm"
2029,1,"12 dBm"
2030,1,"12 dBm"
2031,1,"12 dBm"
2032,1,"12 dBm"
2033,1,"12 dBm"
2034,1,"12 dBm"
2035,1,"12 dBm"
2036,1,"12 dBm"
2037,1,"12 dBm"
2038,1,"12 dBm"
2039,1,"12 dBm"
2040,1,"12 dBm"
2041,1,"12 dBm"
2042,1,"12 dBm"
2043,1,"12 dBm"
2044,1,"12 dBm"
2045,1,"12 dBm"
2046,1,"12 dBm"
2047,1,"12 dBm"
2048,1,"12 dBm"
2049,1,"12 dBm"
2050,1,"12 dBm"
2051,1,"12 dBm"
2052,1,"12 dBm"
2053,1,"12 dBm"
2054,1,"12 dBm"
2055,1,"12 dBm"
2056,1,"12 dBm"
2057,1,"12 dBm"
2058,1,"12 dBm"
2059,1,"12 dBm"
2060,1,"12 dBm"
2061,1,"12 dBm"
2062,1,"12 dBm"
2063,1,"12 dBm"
2064,1,"12 dBm"
2065,1,"12 dBm"
2066,1,"12 dBm"
2067,1,"12 dBm"
2068,1,"12 dBm"
2069,1,"12 dBm"
2070,1,"12 dBm"
2071,1,"12 dBm"
2072,1,"12 dBm"
2073,1,"12 dBm"
2074,1,"12 dBm"
2075,1,"12 dBm"
2076,1,"12 dBm"
2077,1,"12 dBm"
2078,1,"12 dBm"
2079,1,"12 dBm"
2080,1,"12 dBm"
2081,1,"12 dBm"
2082,1,"12 dBm"
2083,1,"12 dBm"
2084,1,"12 dBm"
2085,1,"12 dBm"
2086,1,"12 dBm"
2087,1,"12 dBm"
2088,1,"12 dBm"
2089,1,"12 dBm"
2090,1,"12 dBm"
2091,1,"12 dBm"
2092,1,"12 dBm"
2093,1,"12 dBm"
2094,1,"12 dBm"
2095,1,"12 dBm"
2096,1,"12 dBm"
2097,1,"12 dBm"
2098,1,"12 dBm"
2099,1,"12 dBm"
2100,1,"12 dBm"
2101,1,"12 dBm"
2102,1,"12 dBm"
2103,1,"12 dBm"
2104,1,"12 dBm"
2105,1,"12 dBm"
2106,1,"12 dBm"
2107,1,"12 dBm"
2108,1,"12 dBm"
2109,1,"12 dBm"
2110,1,"12 dBm"
