"Observation","Cluster","NoiseCondition"
253,3,"Baseline"
254,3,"Baseline"
255,3,"Baseline"
256,3,"Baseline"
257,3,"Baseline"
258,3,"Baseline"
259,3,"Baseline"
260,3,"Baseline"
261,3,"Baseline"
262,3,"Baseline"
263,3,"Baseline"
264,3,"Baseline"
265,3,"Baseline"
266,3,"Baseline"
267,3,"Baseline"
268,3,"Baseline"
269,3,"Baseline"
270,3,"Baseline"
271,3,"Baseline"
272,3,"Baseline"
273,3,"Baseline"
274,3,"Baseline"
275,3,"Baseline"
276,3,"Baseline"
277,3,"Baseline"
278,3,"Baseline"
279,3,"Baseline"
280,3,"Baseline"
281,3,"Baseline"
282,3,"Baseline"
283,3,"Baseline"
284,3,"Baseline"
285,3,"Baseline"
286,3,"Baseline"
287,3,"Baseline"
288,3,"Baseline"
289,3,"Baseline"
290,3,"Baseline"
291,3,"Baseline"
292,3,"Baseline"
293,3,"Baseline"
294,3,"Baseline"
295,3,"Baseline"
296,3,"Baseline"
297,3,"Baseline"
298,3,"Baseline"
299,3,"Baseline"
300,3,"Baseline"
301,3,"Baseline"
302,3,"Baseline"
303,3,"Baseline"
304,3,"Baseline"
305,3,"Baseline"
306,3,"Baseline"
307,3,"Baseline"
308,3,"Baseline"
309,3,"Baseline"
310,3,"Baseline"
311,3,"Baseline"
312,3,"Baseline"
313,3,"Baseline"
314,3,"Baseline"
315,3,"Baseline"
316,3,"Baseline"
317,3,"Baseline"
318,3,"Baseline"
319,3,"Baseline"
320,3,"Baseline"
321,3,"Baseline"
322,3,"Baseline"
323,3,"Baseline"
324,3,"Baseline"
325,3,"Baseline"
326,3,"Baseline"
327,3,"Baseline"
328,3,"Baseline"
329,3,"Baseline"
330,3,"Baseline"
331,3,"Baseline"
332,3,"Baseline"
333,3,"Baseline"
334,3,"Baseline"
335,3,"Baseline"
336,3,"Baseline"
337,3,"Baseline"
338,3,"Baseline"
339,3,"Baseline"
340,3,"Baseline"
341,3,"Baseline"
342,3,"Baseline"
343,3,"Baseline"
344,3,"Baseline"
345,3,"Baseline"
346,3,"Baseline"
347,3,"Baseline"
348,3,"Baseline"
349,3,"Baseline"
